Mar 03 13:25:09 Connecting to host 192.168.17.7, port 5201
Mar 03 13:25:09 [  4] local 192.168.17.2 port 40432 connected to 192.168.17.7 port 5201
Mar 03 13:25:09 [ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
Mar 03 13:25:09 [  4]   0.00-1.00   sec  17.3 MBytes   145 Mbits/sec    5    452 KBytes       
Mar 03 13:25:09 [  4]   1.00-2.00   sec  15.0 MBytes   126 Mbits/sec    2    362 KBytes       
Mar 03 13:25:09 [  4]   2.00-3.00   sec  13.8 MBytes   115 Mbits/sec   58    143 KBytes       
Mar 03 13:25:09 [  4]   3.00-4.00   sec  12.5 MBytes   105 Mbits/sec    0    198 KBytes       
Mar 03 13:25:09 [  4]   4.00-5.00   sec  13.8 MBytes   115 Mbits/sec    0    245 KBytes       
Mar 03 13:25:09 [  4]   5.00-6.00   sec  15.0 MBytes   126 Mbits/sec    0    290 KBytes       
Mar 03 13:25:09 [  4]   6.00-7.00   sec  15.0 MBytes   126 Mbits/sec    0    325 KBytes       
Mar 03 13:25:09 [  4]   7.00-8.00   sec  15.0 MBytes   126 Mbits/sec    1    263 KBytes       
Mar 03 13:25:09 [  4]   8.00-9.00   sec  16.2 MBytes   136 Mbits/sec    0    303 KBytes       
Mar 03 13:25:09 [  4]   9.00-10.00  sec  15.0 MBytes   126 Mbits/sec    0    338 KBytes       
Mar 03 13:25:09 [  4]  10.00-11.00  sec  16.2 MBytes   136 Mbits/sec    0    372 KBytes       
Mar 03 13:25:09 [  4]  11.00-12.00  sec  13.7 MBytes   115 Mbits/sec   14    209 KBytes       
Mar 03 13:25:09 [  4]  12.00-13.00  sec  13.7 MBytes   115 Mbits/sec    0    253 KBytes       
Mar 03 13:25:09 [  4]  13.00-14.00  sec  15.0 MBytes   126 Mbits/sec    0    293 KBytes       
Mar 03 13:25:09 [  4]  14.00-15.00  sec  15.0 MBytes   126 Mbits/sec    1    238 KBytes       
Mar 03 13:25:09 [  4]  15.00-16.00  sec  13.8 MBytes   115 Mbits/sec    4    194 KBytes       
Mar 03 13:25:09 [  4]  16.00-17.00  sec  11.2 MBytes  94.3 Mbits/sec   14    173 KBytes       
Mar 03 13:25:09 [  4]  17.00-18.00  sec  13.8 MBytes   115 Mbits/sec    0    223 KBytes       
Mar 03 13:25:09 [  4]  18.00-19.00  sec  12.5 MBytes   105 Mbits/sec   37    187 KBytes       
Mar 03 13:25:09 [  4]  19.00-20.00  sec  13.8 MBytes   115 Mbits/sec    0    235 KBytes       
Mar 03 13:25:09 [  4]  20.00-21.00  sec  15.0 MBytes   126 Mbits/sec    0    277 KBytes       
Mar 03 13:25:09 [  4]  21.00-22.00  sec  15.0 MBytes   126 Mbits/sec    0    318 KBytes       
Mar 03 13:25:09 [  4]  22.00-23.00  sec  16.2 MBytes   136 Mbits/sec    0    352 KBytes       
Mar 03 13:25:09 [  4]  23.00-24.00  sec  13.8 MBytes   115 Mbits/sec    1    283 KBytes       
Mar 03 13:25:09 [  4]  24.00-25.00  sec  13.8 MBytes   115 Mbits/sec    1    236 KBytes       
Mar 03 13:25:09 [  4]  25.00-26.00  sec  12.5 MBytes   105 Mbits/sec    1    197 KBytes       
Mar 03 13:25:09 [  4]  26.00-27.00  sec  3.75 MBytes  31.4 Mbits/sec    2   1.41 KBytes       
